,Number of Occurrences,Type 1 Time,Event,Method
0,763,10.0,redo_A,Supervisory+RL
1,60,10.0,redo_A,Supervisory
2,930,20.0,redo_A,Supervisory+RL
3,125,20.0,redo_A,Supervisory
4,1603,30.0,redo_A,Supervisory+RL
5,133,30.0,redo_A,Supervisory
6,1785,40.0,redo_A,Supervisory+RL
7,166,40.0,redo_A,Supervisory
8,1477,50.0,redo_A,Supervisory+RL
9,163,50.0,redo_A,Supervisory
10,1479,60.0,redo_A,Supervisory+RL
11,176,60.0,redo_A,Supervisory
12,1407,70.0,redo_A,Supervisory+RL
13,156,70.0,redo_A,Supervisory
14,1186,80.0,redo_A,Supervisory+RL
15,188,80.0,redo_A,Supervisory
16,1379,90.0,redo_A,Supervisory+RL
17,200,90.0,redo_A,Supervisory
18,1313,10.0,redo_B,Supervisory+RL
19,93,10.0,redo_B,Supervisory
20,592,20.0,redo_B,Supervisory+RL
21,71,20.0,redo_B,Supervisory
22,1024,30.0,redo_B,Supervisory+RL
23,50,30.0,redo_B,Supervisory
24,419,40.0,redo_B,Supervisory+RL
25,43,40.0,redo_B,Supervisory
26,557,50.0,redo_B,Supervisory+RL
27,35,50.0,redo_B,Supervisory
28,2157,60.0,redo_B,Supervisory+RL
29,41,60.0,redo_B,Supervisory
30,249,70.0,redo_B,Supervisory+RL
31,37,70.0,redo_B,Supervisory
32,138,80.0,redo_B,Supervisory+RL
33,19,80.0,redo_B,Supervisory
34,30,90.0,redo_B,Supervisory+RL
35,28,90.0,redo_B,Supervisory
