index,mean reward,Type 1 Time,method
0,18865520,10,Supervisory+RL
1,28443150,10,Supervisory+RL
2,16617380,10,Supervisory+RL
3,28424040,10,Supervisory+RL
4,22770900,10,Supervisory+RL
5,13697020,10,Supervisory+RL
6,13747720,10,Supervisory+RL
7,10883560,10,Supervisory+RL
8,14797900,10,Supervisory+RL
9,13706310,10,Supervisory+RL
10,14306600,10,Supervisory+RL
11,18093600,10,Supervisory+RL
12,16435710,10,Supervisory+RL
13,11247440,10,Supervisory+RL
14,25019180,10,Supervisory+RL
15,19671810,10,Supervisory+RL
16,15281720,10,Supervisory+RL
17,16230060,10,Supervisory+RL
18,20102870,10,Supervisory+RL
19,17753000,10,Supervisory+RL
20,18886790,10,Supervisory+RL
21,15251340,10,Supervisory+RL
22,20382690,10,Supervisory+RL
23,8717280,10,Supervisory+RL
24,21172520,10,Supervisory+RL
25,17469600,10,Supervisory+RL
26,9289060,10,Supervisory+RL
27,26511670,10,Supervisory+RL
28,20353300,10,Supervisory+RL
29,12770640,10,Supervisory+RL
30,20217280,10,Supervisory+RL
31,15881710,10,Supervisory+RL
32,13517420,10,Supervisory+RL
33,20535040,10,Supervisory+RL
34,15411210,10,Supervisory+RL
35,11648460,10,Supervisory+RL
36,16616000,10,Supervisory+RL
37,16693570,10,Supervisory+RL
38,24874340,10,Supervisory+RL
39,26833890,10,Supervisory+RL
40,20572890,10,Supervisory+RL
41,14215740,10,Supervisory+RL
42,18821560,10,Supervisory+RL
43,9608580,10,Supervisory+RL
44,16348940,10,Supervisory+RL
45,10284040,10,Supervisory+RL
46,24726850,10,Supervisory+RL
47,28114980,10,Supervisory+RL
48,17026420,10,Supervisory+RL
49,21179790,10,Supervisory+RL
50,10595090,20,Supervisory+RL
51,8679990,20,Supervisory+RL
52,5814910,20,Supervisory+RL
53,6739270,20,Supervisory+RL
54,8291830,20,Supervisory+RL
55,13516230,20,Supervisory+RL
56,15068800,20,Supervisory+RL
57,2699190,20,Supervisory+RL
58,6685540,20,Supervisory+RL
59,4578620,20,Supervisory+RL
60,7474290,20,Supervisory+RL
61,8370420,20,Supervisory+RL
62,1118570,20,Supervisory+RL
63,8254410,20,Supervisory+RL
64,4128840,20,Supervisory+RL
65,1125440,20,Supervisory+RL
66,7783830,20,Supervisory+RL
67,5959960,20,Supervisory+RL
68,7797480,20,Supervisory+RL
69,9808010,20,Supervisory+RL
70,4311970,20,Supervisory+RL
71,9404090,20,Supervisory+RL
72,4973310,20,Supervisory+RL
73,7428150,20,Supervisory+RL
74,5136680,20,Supervisory+RL
75,6794870,20,Supervisory+RL
76,8874920,20,Supervisory+RL
77,1189690,20,Supervisory+RL
78,9355490,20,Supervisory+RL
79,8275130,20,Supervisory+RL
80,12125050,20,Supervisory+RL
81,45140070,20,Supervisory+RL
82,6452140,20,Supervisory+RL
83,97770070,20,Supervisory+RL
84,53247090,20,Supervisory+RL
85,78436040,20,Supervisory+RL
86,57476040,20,Supervisory+RL
87,9421010,20,Supervisory+RL
88,10509330,20,Supervisory+RL
89,8488550,20,Supervisory+RL
90,8717840,20,Supervisory+RL
91,5474650,20,Supervisory+RL
92,7806620,20,Supervisory+RL
93,7219440,20,Supervisory+RL
94,5999500,20,Supervisory+RL
95,7642410,20,Supervisory+RL
96,6091640,20,Supervisory+RL
97,4724230,20,Supervisory+RL
98,6469910,20,Supervisory+RL
99,12753770,20,Supervisory+RL
100,10347930,30,Supervisory+RL
101,4058640,30,Supervisory+RL
102,12065510,30,Supervisory+RL
103,15124370,30,Supervisory+RL
104,5801580,30,Supervisory+RL
105,10256950,30,Supervisory+RL
106,15687990,30,Supervisory+RL
107,9534730,30,Supervisory+RL
108,12875560,30,Supervisory+RL
109,13634240,30,Supervisory+RL
110,15303450,30,Supervisory+RL
111,14857070,30,Supervisory+RL
112,10446250,30,Supervisory+RL
113,13893030,30,Supervisory+RL
114,11248340,30,Supervisory+RL
115,8091330,30,Supervisory+RL
116,10875960,30,Supervisory+RL
117,10449400,30,Supervisory+RL
118,1441520,30,Supervisory+RL
119,1444210,30,Supervisory+RL
120,6119770,30,Supervisory+RL
121,8972310,30,Supervisory+RL
122,8154480,30,Supervisory+RL
123,1377330,30,Supervisory+RL
124,8936020,30,Supervisory+RL
125,8520570,30,Supervisory+RL
126,8202120,30,Supervisory+RL
127,1046520,30,Supervisory+RL
128,9266010,30,Supervisory+RL
129,1200330,30,Supervisory+RL
130,7492390,30,Supervisory+RL
131,5807920,30,Supervisory+RL
132,1616940,30,Supervisory+RL
133,1030500,30,Supervisory+RL
134,5626430,30,Supervisory+RL
135,4920690,30,Supervisory+RL
136,9503470,30,Supervisory+RL
137,1458920,30,Supervisory+RL
138,8018870,30,Supervisory+RL
139,1120110,30,Supervisory+RL
140,1459770,30,Supervisory+RL
141,1153270,30,Supervisory+RL
142,12696590,30,Supervisory+RL
143,7643680,30,Supervisory+RL
144,7558860,30,Supervisory+RL
145,1540610,30,Supervisory+RL
146,11026090,30,Supervisory+RL
147,5229960,30,Supervisory+RL
148,6742370,30,Supervisory+RL
149,8015580,30,Supervisory+RL
150,7570860,40,Supervisory+RL
151,1965480,40,Supervisory+RL
152,5656950,40,Supervisory+RL
153,2744780,40,Supervisory+RL
154,6313770,40,Supervisory+RL
155,6526990,40,Supervisory+RL
156,4834900,40,Supervisory+RL
157,7926660,40,Supervisory+RL
158,4841320,40,Supervisory+RL
159,4456540,40,Supervisory+RL
160,5731020,40,Supervisory+RL
161,4224010,40,Supervisory+RL
162,6796300,40,Supervisory+RL
163,6504530,40,Supervisory+RL
164,6269290,40,Supervisory+RL
165,4178880,40,Supervisory+RL
166,5014600,40,Supervisory+RL
167,2651930,40,Supervisory+RL
168,4364640,40,Supervisory+RL
169,3726590,40,Supervisory+RL
170,5554610,40,Supervisory+RL
171,4025210,40,Supervisory+RL
172,4980770,40,Supervisory+RL
173,4390670,40,Supervisory+RL
174,6345740,40,Supervisory+RL
175,6766560,40,Supervisory+RL
176,3543380,40,Supervisory+RL
177,4053230,40,Supervisory+RL
178,6036670,40,Supervisory+RL
179,3069030,40,Supervisory+RL
180,4587060,40,Supervisory+RL
181,8519500,40,Supervisory+RL
182,5664310,40,Supervisory+RL
183,4769850,40,Supervisory+RL
184,5372390,40,Supervisory+RL
185,2310810,40,Supervisory+RL
186,7363970,40,Supervisory+RL
187,5711010,40,Supervisory+RL
188,6734790,40,Supervisory+RL
189,11864640,40,Supervisory+RL
190,7696310,40,Supervisory+RL
191,2882880,40,Supervisory+RL
192,2517400,40,Supervisory+RL
193,2810880,40,Supervisory+RL
194,4764240,40,Supervisory+RL
195,4598750,40,Supervisory+RL
196,3806860,40,Supervisory+RL
197,5576770,40,Supervisory+RL
198,5566950,40,Supervisory+RL
199,2502880,40,Supervisory+RL
200,6139850,50,Supervisory+RL
201,6254110,50,Supervisory+RL
202,4259860,50,Supervisory+RL
203,5627690,50,Supervisory+RL
204,3560180,50,Supervisory+RL
205,7554420,50,Supervisory+RL
206,3954390,50,Supervisory+RL
207,4538420,50,Supervisory+RL
208,5107370,50,Supervisory+RL
209,2768950,50,Supervisory+RL
210,6475250,50,Supervisory+RL
211,3675140,50,Supervisory+RL
212,3579820,50,Supervisory+RL
213,4429810,50,Supervisory+RL
214,4460480,50,Supervisory+RL
215,5016970,50,Supervisory+RL
216,3889940,50,Supervisory+RL
217,3912880,50,Supervisory+RL
218,8873030,50,Supervisory+RL
219,5402070,50,Supervisory+RL
220,7054870,50,Supervisory+RL
221,4560110,50,Supervisory+RL
222,4434790,50,Supervisory+RL
223,6954600,50,Supervisory+RL
224,2195170,50,Supervisory+RL
225,4892860,50,Supervisory+RL
226,3802220,50,Supervisory+RL
227,5440740,50,Supervisory+RL
228,3819920,50,Supervisory+RL
229,3168260,50,Supervisory+RL
230,4726560,50,Supervisory+RL
231,4463470,50,Supervisory+RL
232,4328640,50,Supervisory+RL
233,4365810,50,Supervisory+RL
234,6432920,50,Supervisory+RL
235,3072200,50,Supervisory+RL
236,3809000,50,Supervisory+RL
237,5919170,50,Supervisory+RL
238,3032220,50,Supervisory+RL
239,5863200,50,Supervisory+RL
240,1399940,50,Supervisory+RL
241,4206360,50,Supervisory+RL
242,5363920,50,Supervisory+RL
243,3516560,50,Supervisory+RL
244,5956160,50,Supervisory+RL
245,5646510,50,Supervisory+RL
246,2234190,50,Supervisory+RL
247,2486120,50,Supervisory+RL
248,5771640,50,Supervisory+RL
249,4129410,50,Supervisory+RL
250,1189032,60,Supervisory+RL
251,1457428,60,Supervisory+RL
252,1398967,60,Supervisory+RL
253,6813450,60,Supervisory+RL
254,7154040,60,Supervisory+RL
255,736707,60,Supervisory+RL
256,1004090,60,Supervisory+RL
257,153690,60,Supervisory+RL
258,155540,60,Supervisory+RL
259,1304300,60,Supervisory+RL
260,2089750,60,Supervisory+RL
261,1242081,60,Supervisory+RL
262,9668960,60,Supervisory+RL
263,1706424,60,Supervisory+RL
264,1299003,60,Supervisory+RL
265,7735830,60,Supervisory+RL
266,2318470,60,Supervisory+RL
267,3362820,60,Supervisory+RL
268,13968500,60,Supervisory+RL
269,14576090,60,Supervisory+RL
270,1686502,60,Supervisory+RL
271,1236803,60,Supervisory+RL
272,1297565,60,Supervisory+RL
273,1045300,60,Supervisory+RL
274,2646770,60,Supervisory+RL
275,702250,60,Supervisory+RL
276,999780,60,Supervisory+RL
277,828320,60,Supervisory+RL
278,1762570,60,Supervisory+RL
279,6504050,60,Supervisory+RL
280,2255720,60,Supervisory+RL
281,888080,60,Supervisory+RL
282,134990,60,Supervisory+RL
283,806500,60,Supervisory+RL
284,7511270,60,Supervisory+RL
285,5704580,60,Supervisory+RL
286,9680530,60,Supervisory+RL
287,13897840,60,Supervisory+RL
288,11467470,60,Supervisory+RL
289,14577520,60,Supervisory+RL
290,11397640,60,Supervisory+RL
291,14643230,60,Supervisory+RL
292,8935370,60,Supervisory+RL
293,1082090,60,Supervisory+RL
294,1568660,60,Supervisory+RL
295,7046060,60,Supervisory+RL
296,1216999,60,Supervisory+RL
297,9209360,60,Supervisory+RL
298,1510950,60,Supervisory+RL
299,7139310,60,Supervisory+RL
300,1661640,70,Supervisory+RL
301,1951490,70,Supervisory+RL
302,1840660,70,Supervisory+RL
303,1502120,70,Supervisory+RL
304,4076760,70,Supervisory+RL
305,2284330,70,Supervisory+RL
306,1712260,70,Supervisory+RL
307,2509710,70,Supervisory+RL
308,2875920,70,Supervisory+RL
309,2002180,70,Supervisory+RL
310,2223440,70,Supervisory+RL
311,2739470,70,Supervisory+RL
312,1839980,70,Supervisory+RL
313,2733490,70,Supervisory+RL
314,1845560,70,Supervisory+RL
315,2059440,70,Supervisory+RL
316,1696830,70,Supervisory+RL
317,1610970,70,Supervisory+RL
318,1864660,70,Supervisory+RL
319,3431380,70,Supervisory+RL
320,2025030,70,Supervisory+RL
321,1229900,70,Supervisory+RL
322,2278670,70,Supervisory+RL
323,1679780,70,Supervisory+RL
324,1556760,70,Supervisory+RL
325,589880,70,Supervisory+RL
326,1056790,70,Supervisory+RL
327,789760,70,Supervisory+RL
328,1164430,70,Supervisory+RL
329,3108800,70,Supervisory+RL
330,2276870,70,Supervisory+RL
331,1988250,70,Supervisory+RL
332,2987340,70,Supervisory+RL
333,2395170,70,Supervisory+RL
334,1432420,70,Supervisory+RL
335,2007250,70,Supervisory+RL
336,1216420,70,Supervisory+RL
337,2759840,70,Supervisory+RL
338,2663100,70,Supervisory+RL
339,2094890,70,Supervisory+RL
340,2833860,70,Supervisory+RL
341,1573990,70,Supervisory+RL
342,1939590,70,Supervisory+RL
343,4059620,70,Supervisory+RL
344,1352140,70,Supervisory+RL
345,2420230,70,Supervisory+RL
346,2015490,70,Supervisory+RL
347,1310000,70,Supervisory+RL
348,2268540,70,Supervisory+RL
349,1533290,70,Supervisory+RL
350,851700,80,Supervisory+RL
351,1128030,80,Supervisory+RL
352,858900,80,Supervisory+RL
353,1168060,80,Supervisory+RL
354,1380020,80,Supervisory+RL
355,1709580,80,Supervisory+RL
356,1908820,80,Supervisory+RL
357,1326860,80,Supervisory+RL
358,771500,80,Supervisory+RL
359,749860,80,Supervisory+RL
360,1761540,80,Supervisory+RL
361,1281480,80,Supervisory+RL
362,676660,80,Supervisory+RL
363,1847700,80,Supervisory+RL
364,1519810,80,Supervisory+RL
365,1167480,80,Supervisory+RL
366,1562050,80,Supervisory+RL
367,1357390,80,Supervisory+RL
368,2007250,80,Supervisory+RL
369,1075760,80,Supervisory+RL
370,676020,80,Supervisory+RL
371,1333880,80,Supervisory+RL
372,734370,80,Supervisory+RL
373,1275150,80,Supervisory+RL
374,385360,80,Supervisory+RL
375,1226150,80,Supervisory+RL
376,686960,80,Supervisory+RL
377,1153830,80,Supervisory+RL
378,301190,80,Supervisory+RL
379,278450,80,Supervisory+RL
380,1880390,80,Supervisory+RL
381,1006240,80,Supervisory+RL
382,782230,80,Supervisory+RL
383,1297860,80,Supervisory+RL
384,1953060,80,Supervisory+RL
385,1351130,80,Supervisory+RL
386,1954080,80,Supervisory+RL
387,832220,80,Supervisory+RL
388,697810,80,Supervisory+RL
389,1532940,80,Supervisory+RL
390,560960,80,Supervisory+RL
391,1053800,80,Supervisory+RL
