,Number of Occurrences,Rejection Type 1 Probability,Event,Method
0,0,10.0,redo_A,Supervisory+RL
1,20,10.0,redo_A,Supervisory
2,0,20.0,redo_A,Supervisory+RL
3,33,20.0,redo_A,Supervisory
4,0,30.0,redo_A,Supervisory+RL
5,42,30.0,redo_A,Supervisory
6,0,40.0,redo_A,Supervisory+RL
7,66,40.0,redo_A,Supervisory
8,0,50.0,redo_A,Supervisory+RL
9,84,50.0,redo_A,Supervisory
10,0,60.0,redo_A,Supervisory+RL
11,94,60.0,redo_A,Supervisory
12,0,70.0,redo_A,Supervisory+RL
13,129,70.0,redo_A,Supervisory
14,0,80.0,redo_A,Supervisory+RL
15,144,80.0,redo_A,Supervisory
16,0,90.0,redo_A,Supervisory+RL
17,215,90.0,redo_A,Supervisory
18,0,10.0,redo_B,Supervisory+RL
19,12,10.0,redo_B,Supervisory
20,0,20.0,redo_B,Supervisory+RL
21,10,20.0,redo_B,Supervisory
22,0,30.0,redo_B,Supervisory+RL
23,10,30.0,redo_B,Supervisory
24,0,40.0,redo_B,Supervisory+RL
25,12,40.0,redo_B,Supervisory
26,0,50.0,redo_B,Supervisory+RL
27,13,50.0,redo_B,Supervisory
28,0,60.0,redo_B,Supervisory+RL
29,12,60.0,redo_B,Supervisory
30,0,70.0,redo_B,Supervisory+RL
31,8,70.0,redo_B,Supervisory
32,0,80.0,redo_B,Supervisory+RL
33,20,80.0,redo_B,Supervisory
34,0,90.0,redo_B,Supervisory+RL
35,18,90.0,redo_B,Supervisory
