,mean reward,Rejection Type 1 Probability,method
0,199300,10.0,Supervisory+RL
1,199300,10.0,Supervisory+RL
2,159300,10.0,Supervisory+RL
3,199300,10.0,Supervisory+RL
4,199300,10.0,Supervisory+RL
5,79300,10.0,Supervisory+RL
6,159300,10.0,Supervisory+RL
7,119300,10.0,Supervisory+RL
8,119300,10.0,Supervisory+RL
9,159300,10.0,Supervisory+RL
10,159300,10.0,Supervisory+RL
11,199300,10.0,Supervisory+RL
12,159300,10.0,Supervisory+RL
13,199300,10.0,Supervisory+RL
14,159300,10.0,Supervisory+RL
15,159300,10.0,Supervisory+RL
16,199300,10.0,Supervisory+RL
17,199300,10.0,Supervisory+RL
18,159300,10.0,Supervisory+RL
19,199300,10.0,Supervisory+RL
20,159300,10.0,Supervisory+RL
21,199300,10.0,Supervisory+RL
22,159300,10.0,Supervisory+RL
23,119300,10.0,Supervisory+RL
24,159300,10.0,Supervisory+RL
25,159300,10.0,Supervisory+RL
26,119300,10.0,Supervisory+RL
27,119300,10.0,Supervisory+RL
28,199300,10.0,Supervisory+RL
29,159300,10.0,Supervisory+RL
30,159300,10.0,Supervisory+RL
31,199300,10.0,Supervisory+RL
32,199300,10.0,Supervisory+RL
33,159300,10.0,Supervisory+RL
34,159300,10.0,Supervisory+RL
35,79300,10.0,Supervisory+RL
36,159300,10.0,Supervisory+RL
37,199300,10.0,Supervisory+RL
38,159300,10.0,Supervisory+RL
39,159300,10.0,Supervisory+RL
40,119300,10.0,Supervisory+RL
41,159300,10.0,Supervisory+RL
42,119300,10.0,Supervisory+RL
43,199300,10.0,Supervisory+RL
44,159300,10.0,Supervisory+RL
45,119300,10.0,Supervisory+RL
46,159300,10.0,Supervisory+RL
47,199300,10.0,Supervisory+RL
48,199300,10.0,Supervisory+RL
49,159300,10.0,Supervisory+RL
50,199300,20.0,Supervisory+RL
51,159300,20.0,Supervisory+RL
52,199300,20.0,Supervisory+RL
53,119300,20.0,Supervisory+RL
54,199300,20.0,Supervisory+RL
55,199300,20.0,Supervisory+RL
56,199300,20.0,Supervisory+RL
57,159300,20.0,Supervisory+RL
58,159300,20.0,Supervisory+RL
59,159300,20.0,Supervisory+RL
60,119300,20.0,Supervisory+RL
61,199300,20.0,Supervisory+RL
62,159300,20.0,Supervisory+RL
63,199300,20.0,Supervisory+RL
64,79300,20.0,Supervisory+RL
65,119300,20.0,Supervisory+RL
66,199300,20.0,Supervisory+RL
67,199300,20.0,Supervisory+RL
68,159300,20.0,Supervisory+RL
69,159300,20.0,Supervisory+RL
70,79300,20.0,Supervisory+RL
71,159300,20.0,Supervisory+RL
72,159300,20.0,Supervisory+RL
73,199300,20.0,Supervisory+RL
74,159300,20.0,Supervisory+RL
75,119300,20.0,Supervisory+RL
76,159300,20.0,Supervisory+RL
77,199300,20.0,Supervisory+RL
78,159300,20.0,Supervisory+RL
79,159300,20.0,Supervisory+RL
80,199300,20.0,Supervisory+RL
81,159300,20.0,Supervisory+RL
82,159300,20.0,Supervisory+RL
83,159300,20.0,Supervisory+RL
84,159300,20.0,Supervisory+RL
85,199300,20.0,Supervisory+RL
86,159300,20.0,Supervisory+RL
87,199300,20.0,Supervisory+RL
88,39300,20.0,Supervisory+RL
89,79300,20.0,Supervisory+RL
90,159300,20.0,Supervisory+RL
91,159300,20.0,Supervisory+RL
92,199300,20.0,Supervisory+RL
93,159300,20.0,Supervisory+RL
94,159300,20.0,Supervisory+RL
95,159300,20.0,Supervisory+RL
96,159300,20.0,Supervisory+RL
97,199300,20.0,Supervisory+RL
98,199300,20.0,Supervisory+RL
99,159300,20.0,Supervisory+RL
100,159300,30.0,Supervisory+RL
101,159300,30.0,Supervisory+RL
102,159300,30.0,Supervisory+RL
103,199300,30.0,Supervisory+RL
104,199300,30.0,Supervisory+RL
105,159300,30.0,Supervisory+RL
106,159300,30.0,Supervisory+RL
107,159300,30.0,Supervisory+RL
108,159300,30.0,Supervisory+RL
109,199300,30.0,Supervisory+RL
110,159300,30.0,Supervisory+RL
111,159300,30.0,Supervisory+RL
112,119300,30.0,Supervisory+RL
113,39300,30.0,Supervisory+RL
114,199300,30.0,Supervisory+RL
115,159300,30.0,Supervisory+RL
116,199300,30.0,Supervisory+RL
117,159300,30.0,Supervisory+RL
118,119300,30.0,Supervisory+RL
119,159300,30.0,Supervisory+RL
120,159300,30.0,Supervisory+RL
121,199300,30.0,Supervisory+RL
122,199300,30.0,Supervisory+RL
123,159300,30.0,Supervisory+RL
124,159300,30.0,Supervisory+RL
125,119300,30.0,Supervisory+RL
126,79300,30.0,Supervisory+RL
127,159300,30.0,Supervisory+RL
128,199300,30.0,Supervisory+RL
129,199300,30.0,Supervisory+RL
130,159300,30.0,Supervisory+RL
131,159300,30.0,Supervisory+RL
132,159300,30.0,Supervisory+RL
133,119300,30.0,Supervisory+RL
134,119300,30.0,Supervisory+RL
135,79300,30.0,Supervisory+RL
136,159300,30.0,Supervisory+RL
137,79300,30.0,Supervisory+RL
138,199300,30.0,Supervisory+RL
139,199300,30.0,Supervisory+RL
140,79300,30.0,Supervisory+RL
141,199300,30.0,Supervisory+RL
142,199300,30.0,Supervisory+RL
143,159300,30.0,Supervisory+RL
144,159300,30.0,Supervisory+RL
145,159300,30.0,Supervisory+RL
146,119300,30.0,Supervisory+RL
147,199300,30.0,Supervisory+RL
148,159300,30.0,Supervisory+RL
149,79300,30.0,Supervisory+RL
150,159300,40.0,Supervisory+RL
151,159300,40.0,Supervisory+RL
152,119300,40.0,Supervisory+RL
153,159300,40.0,Supervisory+RL
154,159300,40.0,Supervisory+RL
155,119300,40.0,Supervisory+RL
156,159300,40.0,Supervisory+RL
157,159300,40.0,Supervisory+RL
158,199300,40.0,Supervisory+RL
159,159300,40.0,Supervisory+RL
160,119300,40.0,Supervisory+RL
161,199300,40.0,Supervisory+RL
162,79300,40.0,Supervisory+RL
163,159300,40.0,Supervisory+RL
164,159300,40.0,Supervisory+RL
165,159300,40.0,Supervisory+RL
166,159300,40.0,Supervisory+RL
167,159300,40.0,Supervisory+RL
168,119300,40.0,Supervisory+RL
169,159300,40.0,Supervisory+RL
170,159300,40.0,Supervisory+RL
171,159300,40.0,Supervisory+RL
172,159300,40.0,Supervisory+RL
173,119300,40.0,Supervisory+RL
174,199300,40.0,Supervisory+RL
175,199300,40.0,Supervisory+RL
176,159300,40.0,Supervisory+RL
177,119300,40.0,Supervisory+RL
178,199300,40.0,Supervisory+RL
179,199300,40.0,Supervisory+RL
180,199300,40.0,Supervisory+RL
181,199300,40.0,Supervisory+RL
182,119300,40.0,Supervisory+RL
183,199300,40.0,Supervisory+RL
184,159300,40.0,Supervisory+RL
185,199300,40.0,Supervisory+RL
186,159300,40.0,Supervisory+RL
187,159300,40.0,Supervisory+RL
188,159300,40.0,Supervisory+RL
189,119300,40.0,Supervisory+RL
190,199300,40.0,Supervisory+RL
191,159300,40.0,Supervisory+RL
192,159300,40.0,Supervisory+RL
193,119300,40.0,Supervisory+RL
194,199300,40.0,Supervisory+RL
